Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"if (scenario == ""pos"")",Chrome 80.0.3987.163,,,2020-04-16 21:03:36,2020-04-16 21:03:36,0.000s,PASSED
"else if (scenario == ""neg"")",Chrome 80.0.3987.163,,,2020-04-16 21:03:36,2020-04-16 21:03:36,0.039s,PASSED
takeScreenshot(),Chrome 80.0.3987.163,,,2020-04-16 21:03:36,2020-04-16 21:03:36,0.333s,PASSED
delay(1),Chrome 80.0.3987.163,,,2020-04-16 21:03:36,2020-04-16 21:03:37,1.006s,PASSED
,,,,,,,
Test Cases/transaction,Chrome 80.0.3987.163,,,2020-04-16 21:03:37,2020-04-16 21:03:56,18.725s,FAILED
"callTestCase(findTestCase(""login""), [:], STOP_ON_FAILURE)",Chrome 80.0.3987.163,,,2020-04-16 21:03:37,2020-04-16 21:03:51,13.533s,PASSED
comment(note),Chrome 80.0.3987.163,,,2020-04-16 21:03:51,2020-04-16 21:03:51,0.001s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Products""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:03:51,2020-04-16 21:03:51,0.033s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_ADD TO CART""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:51,2020-04-16 21:03:51,0.056s,PASSED
"itemOnCart = getText(findTestObject(""Object Repository/saucedemo/label_numberOfItem""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:51,2020-04-16 21:03:51,0.039s,PASSED
"verifyNotMatch(itemOnCart, ""0"", false)",Chrome 80.0.3987.163,,,2020-04-16 21:03:51,2020-04-16 21:03:51,0.001s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_cart""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:51,2020-04-16 21:03:51,0.427s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Your Cart""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:03:51,2020-04-16 21:03:51,0.038s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_checkout""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:51,2020-04-16 21:03:52,0.263s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Checkout Your Information""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:03:52,2020-04-16 21:03:52,0.017s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_firstName""), firstName)",Chrome 80.0.3987.163,,,2020-04-16 21:03:52,2020-04-16 21:03:52,0.088s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_lastName""), lastName)",Chrome 80.0.3987.163,,,2020-04-16 21:03:52,2020-04-16 21:03:52,0.092s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_postalCode""), postalCode)",Chrome 80.0.3987.163,,,2020-04-16 21:03:52,2020-04-16 21:03:52,0.108s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_continue""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:52,2020-04-16 21:03:52,0.291s,PASSED
"if (scenario == ""pos"")",Chrome 80.0.3987.163,,,2020-04-16 21:03:52,2020-04-16 21:03:52,0.000s,PASSED
"else if (scenario == ""neg"")",Chrome 80.0.3987.163,,,2020-04-16 21:03:52,2020-04-16 21:03:56,3.716s,FAILED
